Variable,Description,Missing Values,Percentage (%),Missingness Label
member_id,A unique LC assigned Id for the borrower member.,2260701,100.0,Very High (95-100%)
orig_projected_additional_accrued_interest,The original projected additional interest amount that will accrue for the given hardship payment plan as of the Hardship Start Date. This field will be null if the borrower has broken their hardship payment plan.,2252050,99.61733108447336,Very High (95-100%)
hardship_start_date,The start date of the hardship plan period,2249784,99.51709668815116,Very High (95-100%)
hardship_payoff_balance_amount,The payoff balance amount as of the hardship plan start date,2249784,99.51709668815116,Very High (95-100%)
hardship_last_payment_amount,The last payment amount as of the hardship plan start date,2249784,99.51709668815116,Very High (95-100%)
hardship_reason,Describes the reason the hardship plan was offered,2249784,99.51709668815116,Very High (95-100%)
hardship_type,Describes the hardship plan offering,2249784,99.51709668815116,Very High (95-100%)
hardship_status,"Describes if the hardship plan is active, pending, canceled, completed, or broken",2249784,99.51709668815116,Very High (95-100%)
hardship_amount,The interest payment that the borrower has committed to make each month while they are on a hardship plan,2249784,99.51709668815116,Very High (95-100%)
deferral_term,Amount of months that the borrower is expected to pay less than the contractual monthly payment amount due to a hardship plan,2249784,99.51709668815116,Very High (95-100%)
hardship_end_date,The end date of the hardship plan period,2249784,99.51709668815116,Very High (95-100%)
hardship_dpd,Account days past due as of the hardship plan start date,2249784,99.51709668815116,Very High (95-100%)
hardship_loan_status,Loan Status as of the hardship plan start date,2249784,99.51709668815116,Very High (95-100%)
hardship_length,The number of months the borrower will make smaller payments than normally obligated due to a hardship plan,2249784,99.51709668815116,Very High (95-100%)
payment_plan_start_date,"The day the first hardship plan payment is due. For example, if a borrower has a hardship plan period of 3 months, the start date is the start of the three-month period in which the borrower is allowed to make interest-only payments.",2249784,99.51709668815116,Very High (95-100%)
settlement_status,"The status of the borrowers settlement plan. Possible values are: COMPLETE, ACTIVE, BROKEN, CANCELLED, DENIED, DRAFT",2226455,98.48516013395844,Very High (95-100%)
settlement_amount,The loan amount that the borrower has agreed to settle for,2226455,98.48516013395844,Very High (95-100%)
settlement_term,The number of months that the borrower will be on the settlement plan,2226455,98.48516013395844,Very High (95-100%)
settlement_percentage,The settlement amount as a percentage of the payoff balance amount on the loan,2226455,98.48516013395844,Very High (95-100%)
settlement_date,The date that the borrower agrees to the settlement plan,2226455,98.48516013395844,Very High (95-100%)
debt_settlement_flag_date,The most recent date that the Debt_Settlement_Flag has been set  ,2226455,98.48516013395844,Very High (95-100%)
sec_app_mths_since_last_major_derog, Months since most recent 90-day or worse rating at time of application for the secondary applicant,2224759,98.41013915595207,Very High (95-100%)
sec_app_revol_util, Ratio of total current balance to high credit/credit limit for all revolving accounts,2154517,95.30304980623266,Very High (95-100%)
revol_bal_joint," Sum of revolving credit balance of the co-borrowers, net of duplicate balances",2152681,95.22183605881538,Very High (95-100%)
sec_app_open_act_il, Number of currently active installment trades at time of application for the secondary applicant,2152680,95.22179182474817,Very High (95-100%)
sec_app_mort_acc, Number of mortgage accounts at time of application for the secondary applicant,2152680,95.22179182474817,Very High (95-100%)
sec_app_num_rev_accts, Number of revolving accounts at time of application for the secondary applicant,2152680,95.22179182474817,Very High (95-100%)
sec_app_earliest_cr_line, Earliest credit line at time of application for the secondary applicant,2152680,95.22179182474817,Very High (95-100%)
sec_app_fico_range_high, FICO range (low) for the secondary applicant,2152680,95.22179182474817,Very High (95-100%)
sec_app_chargeoff_within_12_mths, Number of charge-offs within last 12 months at time of application for the secondary applicant,2152680,95.22179182474817,Very High (95-100%)
sec_app_open_acc, Number of open trades at time of application for the secondary applicant,2152680,95.22179182474817,Very High (95-100%)
sec_app_fico_range_low, FICO range (high) for the secondary applicant,2152680,95.22179182474817,Very High (95-100%)
sec_app_inq_last_6mths, Credit inquiries in the last 6 months at time of application for the secondary applicant,2152680,95.22179182474817,Very High (95-100%)
sec_app_collections_12_mths_ex_med, Number of collections within last 12 months excluding medical collections at time of application for the secondary applicant,2152680,95.22179182474817,Very High (95-100%)
verification_status_joint,"Indicates if the co-borrowers' joint income was verified by LC, not verified, or if the income source was verified",2144971,94.88079140054346,High (50-94%)
dti_joint,"A ratio calculated using the co-borrowers' total monthly payments on the total debt obligations, excluding mortgages and the requested LC loan, divided by the co-borrowers' combined self-reported monthly income",2139995,94.66068268205305,High (50-94%)
annual_inc_joint,The combined self-reported annual income provided by the co-borrowers during registration,2139991,94.66050574578416,High (50-94%)
desc,Loan description provided by the borrower,2134636,94.42363231581709,High (50-94%)
mths_since_last_record,The number of months since the last public record.,1901545,84.11306935326698,High (50-94%)
mths_since_recent_bc_dlq,Months since most recent bankcard delinquency,1741000,77.01151103131285,High (50-94%)
mths_since_last_major_derog,Months since most recent 90-day or worse rating,1679926,74.30995960987322,High (50-94%)
mths_since_recent_revol_delinq,Months since most recent revolving delinquency.,1520342,67.25091022651823,High (50-94%)
next_pymnt_d,Next scheduled payment date,1345343,59.50999269695551,High (50-94%)
mths_since_last_delinq,The number of months since the borrower's last delinquency.,1158535,51.24671506758302,High (50-94%)
il_util,Ratio of total current balance to high credit/credit limit on all install acct,1068883,47.281042473109004,Moderate (10-49%)
mths_since_rcnt_il,Months since most recent installment accounts opened,909957,40.25109910598527,Moderate (10-49%)
all_util,Balance to credit limit on all trades,866381,38.32355539277419,Moderate (10-49%)
inq_last_12m,Number of credit inquiries in past 12 months,866163,38.313912366120064,Moderate (10-49%)
total_cu_tl,Number of finance trades,866163,38.313912366120064,Moderate (10-49%)
open_acc_6m,Number of open trades in last 6 months,866163,38.313912366120064,Moderate (10-49%)
open_il_24m,Number of installment accounts opened in past 24 months,866162,38.313868132052846,Moderate (10-49%)
open_rv_12m,Number of revolving trades opened in past 12 months,866162,38.313868132052846,Moderate (10-49%)
open_rv_24m,Number of revolving trades opened in past 24 months,866162,38.313868132052846,Moderate (10-49%)
max_bal_bc,Maximum current balance owed on all revolving accounts,866162,38.313868132052846,Moderate (10-49%)
open_il_12m,Number of installment accounts opened in past 12 months,866162,38.313868132052846,Moderate (10-49%)
total_bal_il,Total current balance of all installment accounts,866162,38.313868132052846,Moderate (10-49%)
open_act_il,Number of currently active installment trades,866162,38.313868132052846,Moderate (10-49%)
inq_fi,Number of personal finance inquiries,866162,38.313868132052846,Moderate (10-49%)
mths_since_recent_inq,Months since most recent inquiry.,295468,13.069751373578372,Moderate (10-49%)
emp_title,The job title supplied by the Borrower when applying for the loan.*,167002,7.387177693998455,Low (<10%)
num_tl_120dpd_2m,Number of accounts currently 120 days past due (updated in past 2 months),153690,6.798333791155929,Low (<10%)
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. ,146940,6.499753837415917,Low (<10%)
mo_sin_old_il_acct,Months since oldest bank installment account opened,139104,6.153135686674178,Low (<10%)
bc_util,Ratio of total current balance to high credit/credit limit for all bankcard accounts.,76104,3.3663894517673945,Low (<10%)
percent_bc_gt_75,Percentage of all bankcard accounts > 75% of limit.,75412,3.3357794772506404,Low (<10%)
bc_open_to_buy,Total open to buy on revolving bankcards.,74968,3.316139551404631,Low (<10%)
mths_since_recent_bc,Months since most recent bankcard account opened.,73445,3.2487710670274392,Low (<10%)
pct_tl_nvr_dlq,Percent of trades never delinquent,70464,3.116909312642406,Low (<10%)
avg_cur_bal,Average current balance of all accounts,70379,3.1131494169286427,Low (<10%)
mo_sin_rcnt_rev_tl_op,Months since most recent revolving account opened,70310,3.1100972662904116,Low (<10%)
mo_sin_old_rev_tl_op,Months since oldest revolving account opened,70310,3.1100972662904116,Low (<10%)
num_rev_accts,Number of revolving accounts,70310,3.1100972662904116,Low (<10%)
num_tl_op_past_12m,Number of accounts opened in past 12 months,70309,3.110053032223191,Low (<10%)
num_tl_90g_dpd_24m,Number of accounts 90 or more days past due in last 24 months,70309,3.110053032223191,Low (<10%)
num_actv_bc_tl,Number of currently active bankcard accounts,70309,3.110053032223191,Low (<10%)
tot_cur_bal,Total current balance of all accounts,70309,3.110053032223191,Low (<10%)
tot_coll_amt,Total collection amounts ever owed,70309,3.110053032223191,Low (<10%)
mo_sin_rcnt_tl,Months since most recent account opened,70309,3.110053032223191,Low (<10%)
total_il_high_credit_limit,Total installment high credit/credit limit,70309,3.110053032223191,Low (<10%)
tot_hi_cred_lim,Total high credit/credit limit,70309,3.110053032223191,Low (<10%)
num_rev_tl_bal_gt_0,Number of revolving trades with balance >0,70309,3.110053032223191,Low (<10%)
num_op_rev_tl,Number of open revolving accounts,70309,3.110053032223191,Low (<10%)
