,Missing Values,Percentage (%),Column names
member_id,2260701,100.0,member_id
orig_projected_additional_accrued_interest,2252050,99.61733108447336,orig_projected_additional_accrued_interest
hardship_reason,2249784,99.51709668815116,hardship_reason
hardship_payoff_balance_amount,2249784,99.51709668815116,hardship_payoff_balance_amount
hardship_last_payment_amount,2249784,99.51709668815116,hardship_last_payment_amount
payment_plan_start_date,2249784,99.51709668815116,payment_plan_start_date
hardship_type,2249784,99.51709668815116,hardship_type
hardship_status,2249784,99.51709668815116,hardship_status
hardship_start_date,2249784,99.51709668815116,hardship_start_date
deferral_term,2249784,99.51709668815116,deferral_term
hardship_amount,2249784,99.51709668815116,hardship_amount
hardship_dpd,2249784,99.51709668815116,hardship_dpd
hardship_loan_status,2249784,99.51709668815116,hardship_loan_status
hardship_length,2249784,99.51709668815116,hardship_length
hardship_end_date,2249784,99.51709668815116,hardship_end_date
settlement_status,2226455,98.48516013395844,settlement_status
debt_settlement_flag_date,2226455,98.48516013395844,debt_settlement_flag_date
settlement_term,2226455,98.48516013395844,settlement_term
settlement_percentage,2226455,98.48516013395844,settlement_percentage
settlement_date,2226455,98.48516013395844,settlement_date
settlement_amount,2226455,98.48516013395844,settlement_amount
sec_app_mths_since_last_major_derog,2224759,98.41013915595207,sec_app_mths_since_last_major_derog
sec_app_revol_util,2154517,95.30304980623266,sec_app_revol_util
revol_bal_joint,2152681,95.22183605881538,revol_bal_joint
sec_app_inq_last_6mths,2152680,95.22179182474817,sec_app_inq_last_6mths
sec_app_num_rev_accts,2152680,95.22179182474817,sec_app_num_rev_accts
sec_app_open_acc,2152680,95.22179182474817,sec_app_open_acc
sec_app_earliest_cr_line,2152680,95.22179182474817,sec_app_earliest_cr_line
sec_app_fico_range_high,2152680,95.22179182474817,sec_app_fico_range_high
sec_app_mort_acc,2152680,95.22179182474817,sec_app_mort_acc
sec_app_open_act_il,2152680,95.22179182474817,sec_app_open_act_il
sec_app_fico_range_low,2152680,95.22179182474817,sec_app_fico_range_low
sec_app_collections_12_mths_ex_med,2152680,95.22179182474817,sec_app_collections_12_mths_ex_med
sec_app_chargeoff_within_12_mths,2152680,95.22179182474817,sec_app_chargeoff_within_12_mths
verification_status_joint,2144971,94.88079140054346,verification_status_joint
dti_joint,2139995,94.66068268205305,dti_joint
annual_inc_joint,2139991,94.66050574578416,annual_inc_joint
desc,2134636,94.42363231581709,desc
mths_since_last_record,1901545,84.11306935326698,mths_since_last_record
mths_since_recent_bc_dlq,1741000,77.01151103131285,mths_since_recent_bc_dlq
mths_since_last_major_derog,1679926,74.30995960987322,mths_since_last_major_derog
mths_since_recent_revol_delinq,1520342,67.25091022651823,mths_since_recent_revol_delinq
next_pymnt_d,1345343,59.50999269695551,next_pymnt_d
mths_since_last_delinq,1158535,51.24671506758302,mths_since_last_delinq
il_util,1068883,47.281042473109004,il_util
mths_since_rcnt_il,909957,40.25109910598527,mths_since_rcnt_il
all_util,866381,38.32355539277419,all_util
open_acc_6m,866163,38.313912366120064,open_acc_6m
inq_last_12m,866163,38.313912366120064,inq_last_12m
total_cu_tl,866163,38.313912366120064,total_cu_tl
open_il_24m,866162,38.313868132052846,open_il_24m
max_bal_bc,866162,38.313868132052846,max_bal_bc
open_act_il,866162,38.313868132052846,open_act_il
open_il_12m,866162,38.313868132052846,open_il_12m
open_rv_24m,866162,38.313868132052846,open_rv_24m
total_bal_il,866162,38.313868132052846,total_bal_il
inq_fi,866162,38.313868132052846,inq_fi
open_rv_12m,866162,38.313868132052846,open_rv_12m
mths_since_recent_inq,295468,13.069751373578372,mths_since_recent_inq
emp_title,167002,7.387177693998455,emp_title
num_tl_120dpd_2m,153690,6.798333791155929,num_tl_120dpd_2m
emp_length,146940,6.499753837415917,emp_length
mo_sin_old_il_acct,139104,6.153135686674178,mo_sin_old_il_acct
bc_util,76104,3.3663894517673945,bc_util
percent_bc_gt_75,75412,3.3357794772506404,percent_bc_gt_75
bc_open_to_buy,74968,3.316139551404631,bc_open_to_buy
mths_since_recent_bc,73445,3.2487710670274392,mths_since_recent_bc
pct_tl_nvr_dlq,70464,3.116909312642406,pct_tl_nvr_dlq
avg_cur_bal,70379,3.1131494169286427,avg_cur_bal
mo_sin_rcnt_rev_tl_op,70310,3.1100972662904116,mo_sin_rcnt_rev_tl_op
num_rev_accts,70310,3.1100972662904116,num_rev_accts
mo_sin_old_rev_tl_op,70310,3.1100972662904116,mo_sin_old_rev_tl_op
num_op_rev_tl,70309,3.110053032223191,num_op_rev_tl
num_il_tl,70309,3.110053032223191,num_il_tl
num_tl_op_past_12m,70309,3.110053032223191,num_tl_op_past_12m
tot_coll_amt,70309,3.110053032223191,tot_coll_amt
num_actv_rev_tl,70309,3.110053032223191,num_actv_rev_tl
total_rev_hi_lim,70309,3.110053032223191,total_rev_hi_lim
tot_cur_bal,70309,3.110053032223191,tot_cur_bal
num_tl_30dpd,70309,3.110053032223191,num_tl_30dpd
num_actv_bc_tl,70309,3.110053032223191,num_actv_bc_tl
num_accts_ever_120_pd,70309,3.110053032223191,num_accts_ever_120_pd
num_rev_tl_bal_gt_0,70309,3.110053032223191,num_rev_tl_bal_gt_0
mo_sin_rcnt_tl,70309,3.110053032223191,mo_sin_rcnt_tl
num_tl_90g_dpd_24m,70309,3.110053032223191,num_tl_90g_dpd_24m
tot_hi_cred_lim,70309,3.110053032223191,tot_hi_cred_lim
total_il_high_credit_limit,70309,3.110053032223191,total_il_high_credit_limit
num_bc_tl,70309,3.110053032223191,num_bc_tl
num_bc_sats,58623,2.593133722681593,num_bc_sats
num_sats,58623,2.593133722681593,num_sats
mort_acc,50063,2.214490107272036,mort_acc
total_bal_ex_mort,50063,2.214490107272036,total_bal_ex_mort
total_bc_limit,50063,2.214490107272036,total_bc_limit
acc_open_past_24mths,50063,2.214490107272036,acc_open_past_24mths
title,23359,1.033263576209326,title
last_pymnt_d,2460,0.10881580536302679,last_pymnt_d
revol_util,1835,0.08116951335006266,revol_util
dti,1744,0.07714421323297507,dti
pub_rec_bankruptcies,1398,0.061839225974598136,pub_rec_bankruptcies
chargeoff_within_12_mths,178,0.007873663965292182,chargeoff_within_12_mths
collections_12_mths_ex_med,178,0.007873663965292182,collections_12_mths_ex_med
tax_liens,138,0.006104301276462478,tax_liens
last_credit_pull_d,105,0.004644577058177972,last_credit_pull_d
inq_last_6mths,63,0.0027867462349067834,inq_last_6mths
delinq_amnt,62,0.0027425121676860407,delinq_amnt
total_acc,62,0.0027425121676860407,total_acc
open_acc,62,0.0027425121676860407,open_acc
earliest_cr_line,62,0.0027425121676860407,earliest_cr_line
pub_rec,62,0.0027425121676860407,pub_rec
delinq_2yrs,62,0.0027425121676860407,delinq_2yrs
acc_now_delinq,62,0.0027425121676860407,acc_now_delinq
annual_inc,37,0.001636660487167476,annual_inc
zip_code,34,0.0015039582855052483,zip_code
loan_amnt,33,0.0014597242182845054,loan_amnt
funded_amnt,33,0.0014597242182845054,funded_amnt
term,33,0.0014597242182845054,term
funded_amnt_inv,33,0.0014597242182845054,funded_amnt_inv
int_rate,33,0.0014597242182845054,int_rate
verification_status,33,0.0014597242182845054,verification_status
out_prncp,33,0.0014597242182845054,out_prncp
purpose,33,0.0014597242182845054,purpose
pymnt_plan,33,0.0014597242182845054,pymnt_plan
loan_status,33,0.0014597242182845054,loan_status
issue_d,33,0.0014597242182845054,issue_d
grade,33,0.0014597242182845054,grade
home_ownership,33,0.0014597242182845054,home_ownership
url,33,0.0014597242182845054,url
installment,33,0.0014597242182845054,installment
sub_grade,33,0.0014597242182845054,sub_grade
revol_bal,33,0.0014597242182845054,revol_bal
policy_code,33,0.0014597242182845054,policy_code
application_type,33,0.0014597242182845054,application_type
last_pymnt_amnt,33,0.0014597242182845054,last_pymnt_amnt
last_fico_range_low,33,0.0014597242182845054,last_fico_range_low
addr_state,33,0.0014597242182845054,addr_state
collection_recovery_fee,33,0.0014597242182845054,collection_recovery_fee
initial_list_status,33,0.0014597242182845054,initial_list_status
last_fico_range_high,33,0.0014597242182845054,last_fico_range_high
fico_range_low,33,0.0014597242182845054,fico_range_low
fico_range_high,33,0.0014597242182845054,fico_range_high
out_prncp_inv,33,0.0014597242182845054,out_prncp_inv
total_pymnt_inv,33,0.0014597242182845054,total_pymnt_inv
total_pymnt,33,0.0014597242182845054,total_pymnt
total_rec_prncp,33,0.0014597242182845054,total_rec_prncp
recoveries,33,0.0014597242182845054,recoveries
total_rec_late_fee,33,0.0014597242182845054,total_rec_late_fee
total_rec_int,33,0.0014597242182845054,total_rec_int
disbursement_method,33,0.0014597242182845054,disbursement_method
hardship_flag,33,0.0014597242182845054,hardship_flag
debt_settlement_flag,33,0.0014597242182845054,debt_settlement_flag
id,0,0.0,id
